Age Group,Gender,Marital Status,Number of Dependents,Education Level,Employment Type,Employment Duration,Monthly Income,Existing Loan Status,Monthly Loan Repayment,Loan Type,Requested Loan Amount,Loan Purpose,Collateral Availability,Guarantor Availability,Required Documents Submitted,Loan Application Result
25–34,Male,Married,2,Undergraduate degree,Private-sector employee,More than 10 years,"Rs.150,000–249,999",No,No existing loan,Other,"Rs.1,000,000–4,999,999",Vehicle purchase,No,No,"Yes, all",Rejected
25–34,Male,Married,0,Undergraduate degree,Private-sector employee,3–5 years,"Rs.250,000–399,999",Yes,"Rs.10,000–24,999",Personal,"Rs.500,000–999,999",Vehicle purchase,Yes,No,"Yes, all",Approved
25–34,Male,Married,1,Undergraduate degree,Retired,Not employed/business,"Rs.150,000–249,999",Yes,"Rs.10,000–24,999",Vehicle,"Rs.5,000,000–9,999,999",Vehicle purchase,No,No,"Yes, all",Rejected
25–34,Male,Single,1,Undergraduate degree,Business owner,3–5 years,"Rs.250,000–399,999",Yes,"Rs.25,000–49,999",Housing,"Rs.10,000,000–24,999,999",House purchase/construction,Yes,No,"Yes, all",Approved
35–44,Male,Married,0,Undergraduate degree,Contract employee,1–2 years,"Rs.150,000–249,999",Yes,"Rs.50,000–74,999",Personal,"Rs.1,000,000–4,999,999",Debt consolidation,No,No,"Yes, all",Rejected
25–34,Male,Married,0,Undergraduate degree,Private-sector employee,3–5 years,"Rs.250,000–399,999",Yes,No existing loan,Personal,"Rs.500,000–999,999",Debt consolidation,Yes,No,"Yes, all",Approved
25–34,Male,Single,0,Undergraduate degree,Private-sector employee,3–5 years,"Rs.150,000–249,999",No,No existing loan,Personal,"Rs.500,000–999,999",Medical expenses,Not applicable / Not required,No,"Yes, all",Approved
35–44,Male,Married,0,Undergraduate degree,Contract employee,1–2 years,"Rs.100,000–149,999",No,No existing loan,Personal,"Rs.1,000,000–4,999,999",Debt consolidation,No,No,"Yes, all",Rejected
35–44,Male,Married,2,Undergraduate degree,Private-sector employee,1–2 years,"Rs.150,000–249,999",Yes,No existing loan,Personal,"Below Rs.500,000",Other,No,No,"Yes, all",Rejected
25–34,Male,Married,1,Undergraduate degree,Retired,Not employed/business,"Rs.50,000–99,999",Yes,No existing loan,Housing,"Rs.25,000,000–49,999,999",House purchase/construction,Yes,No,"Yes, all",Rejected
25–34,Female,Married,2,Undergraduate degree,Private-sector employee,3–5 years,"Rs.250,000–399,999",No,No existing loan,Vehicle,"Rs.500,000–999,999",Business investment,Yes,No,"Yes, all",Approved
