Feature,Category,Seed_Count_500,Seed_Pct,SDV_Count_2500,SDV_Pct,Percentage_Point_Diff,Abs_Percentage_Point_Diff
Age Group,25–34,153,30.6,827,33.08,2.48,2.48
Age Group,35–44,129,25.8,612,24.48,-1.32,1.32
Age Group,45–54,108,21.6,532,21.28,-0.32,0.32
Age Group,55–64,53,10.6,217,8.68,-1.92,1.92
Age Group,65 or above,20,4.0,119,4.76,0.76,0.76
Age Group,Below 25,37,7.4,193,7.72,0.32,0.32
Gender,Female,212,42.4,980,39.2,-3.2,3.2
Gender,Male,278,55.6,1447,57.88,2.28,2.28
Gender,Prefer not to say,10,2.0,73,2.92,0.92,0.92
Marital Status,Divorced,19,3.8,78,3.12,-0.68,0.68
Marital Status,Married,293,58.6,1675,67.0,8.4,8.4
Marital Status,Prefer not to say,7,1.4,58,2.32,0.92,0.92
Marital Status,Single,164,32.8,615,24.6,-8.2,8.2
Marital Status,Widowed,17,3.4,74,2.96,-0.44,0.44
Number of Dependents,0,137,27.4,834,33.36,5.96,5.96
Number of Dependents,1,115,23.0,458,18.32,-4.68,4.68
Number of Dependents,2,108,21.6,509,20.36,-1.24,1.24
Number of Dependents,3,87,17.4,429,17.16,-0.24,0.24
Number of Dependents,4,26,5.2,137,5.48,0.28,0.28
Number of Dependents,5 or more,27,5.4,133,5.32,-0.08,0.08
Education Level,Diploma,115,23.0,602,24.08,1.08,1.08
Education Level,No formal education,4,0.8,33,1.32,0.52,0.52
Education Level,Other,10,2.0,75,3.0,1.0,1.0
Education Level,Postgraduate degree,70,14.0,330,13.2,-0.8,0.8
Education Level,Primary,17,3.4,116,4.64,1.24,1.24
Education Level,Secondary,81,16.2,432,17.28,1.08,1.08
Education Level,Undergraduate degree,203,40.6,912,36.48,-4.12,4.12
Employment Type,Business owner,72,14.4,309,12.36,-2.04,2.04
Employment Type,Contract employee,62,12.4,297,11.88,-0.52,0.52
Employment Type,Government employee,68,13.6,410,16.4,2.8,2.8
Employment Type,Other,12,2.4,74,2.96,0.56,0.56
Employment Type,Private-sector employee,141,28.2,597,23.88,-4.32,4.32
