Feature,Gini_Importance,Normalized_Importance_%
Requested Loan Amount,0.07101127309046674,7.101127309046676
Monthly Income,0.07087300823318204,7.0873008233182055
Employment Duration,0.061679059101904944,6.167905910190495
Number of Dependents,0.05714509757661172,5.7145097576611725
Age Group,0.05704085842246442,5.704085842246442
Monthly Loan Repayment,0.04748778446979768,4.7487784469797685
Collateral Availability_Yes,0.01972675701545746,1.9726757015457463
Gender_Female,0.01915837229657041,1.9158372296570414
Education Level_Undergraduate degree,0.019065983179320595,1.9065983179320598
Loan Type_Personal,0.01879776694942045,1.8797766949420454
Gender_Male,0.0183491613694705,1.8349161369470501
Employment Type_Private-sector employee,0.018330428690879204,1.8330428690879208
Existing Loan Status_No,0.018295483306912604,1.8295483306912608
Education Level_Diploma,0.018010273574542063,1.8010273574542066
Collateral Availability_No,0.017757122063892065,1.7757122063892068
Marital Status_Married,0.01769419687091309,1.7694196870913095
Existing Loan Status_Yes,0.01750249670311726,1.7502496703117265
Loan Purpose_House purchase/construction,0.01718364304938235,1.7183643049382353
Guarantor Availability_No,0.01698833954661498,1.6988339546614983
Guarantor Availability_Yes,0.016738798237744008,1.673879823774401
Marital Status_Single,0.016484334839267915,1.6484334839267918
Loan Type_Housing,0.016422511810042405,1.6422511810042408
Loan Purpose_Business investment,0.01618814050254892,1.6188140502548922
Loan Purpose_Vehicle purchase,0.016182827903815363,1.6182827903815367
Employment Type_Government employee,0.016096442334384693,1.6096442334384695
Employment Type_Self-employed,0.015638225143029715,1.5638225143029718
Loan Type_Business,0.01552167230593971,1.552167230593971
Loan Type_Vehicle,0.014995993712642711,1.4995993712642712
Education Level_Secondary,0.014793464650124804,1.4793464650124806
Loan Purpose_Debt consolidation,0.013859465271457129,1.385946527145713
Employment Type_Business owner,0.01354511076611127,1.3545110766111272
Employment Type_Contract employee,0.013437740117957439,1.3437740117957442
Education Level_Postgraduate degree,0.013376258212614806,1.3376258212614809
Loan Purpose_Other,0.012725866915713304,1.2725866915713306
Loan Type_Agricultural,0.012217353308755029,1.221735330875503
Loan Purpose_Agriculture,0.012042884344396565,1.2042884344396567
Loan Purpose_Personal expenses,0.010892241367541146,1.0892241367541147
"Required Documents Submitted_Yes, all",0.010855600818189424,1.0855600818189426
Loan Purpose_Education,0.010773706353663657,1.077370635366366
Collateral Availability_Not applicable / Not required,0.010491044039334759,1.049104403933476
Employment Type_Unemployed,0.010217033333671958,1.021703333367196
Loan Purpose_Medical expenses,0.010114396006588668,1.011439600658867
Employment Type_Retired,0.009817622881508219,0.981762288150822
Loan Type_Education,0.009602547366905417,0.9602547366905418
Loan Type_Other,0.008123286979223874,0.8123286979223876
Education Level_Primary,0.007401234851858697,0.7401234851858698
Required Documents Submitted_Not sure,0.007240485218831303,0.7240485218831304
Marital Status_Widowed,0.006129133666242173,0.6129133666242174
Education Level_Other,0.006094234554278206,0.6094234554278207
Employment Type_Other,0.006093340947262103,0.6093340947262104
Gender_Prefer not to say,0.005827504664325536,0.5827504664325537
Marital Status_Divorced,0.0055582200454381125,0.5558220045438114
"Required Documents Submitted_No, some missing",0.005473783617796553,0.5473783617796554
Marital Status_Prefer not to say,0.0042397614299997805,0.42397614299997816
Education Level_No formal education,0.0026906259698739996,0.2690625969874
