Age Group,Gender,Marital Status,Number of Dependents,Education Level,Employment Type,Employment Duration,Monthly Income,Existing Loan Status,Monthly Loan Repayment,Loan Type,Requested Loan Amount,Loan Purpose,Collateral Availability,Guarantor Availability,Required Documents Submitted,Loan Application Result
55–64,Male,Married,3,Undergraduate degree,Self-employed,6–10 years,"Rs.400,000–599,999",No,No existing loan,Business,"Rs.10,000,000–24,999,999",Business investment,No,No,"Yes, all",Rejected
25–34,Male,Single,4,Diploma,Self-employed,Less than 1 year,"Rs.100,000–149,999",No,No existing loan,Personal,"Rs.5,000,000–9,999,999",Medical expenses,No,No,"Yes, all",Rejected
25–34,Male,Married,1,Undergraduate degree,Private-sector employee,6–10 years,"Rs.100,000–149,999",Yes,"Below Rs.10,000",Business,"Rs.5,000,000–9,999,999",Business investment,Yes,Yes,Not sure,Rejected
Below 25,Female,Married,2,Undergraduate degree,Self-employed,3–5 years,"Rs.100,000–149,999",No,No existing loan,Other,"Rs.500,000–999,999",Personal expenses,Yes,No,"Yes, all",Approved
35–44,Female,Single,2,Postgraduate degree,Self-employed,1–2 years,"Rs.100,000–149,999",Yes,"Rs.25,000–49,999",Housing,"Rs.5,000,000–9,999,999",House purchase/construction,Yes,No,"Yes, all",Approved
35–44,Male,Married,4,Diploma,Private-sector employee,1–2 years,"Rs.150,000–249,999",No,No existing loan,Personal,"Rs.1,000,000–4,999,999",Medical expenses,Yes,No,"Yes, all",Rejected
25–34,Male,Single,3,Secondary,Private-sector employee,6–10 years,"Rs.250,000–399,999",Yes,"Rs.50,000–74,999",Agricultural,"Below Rs.500,000",Agriculture,No,Yes,"Yes, all",Approved
35–44,Female,Married,2,Diploma,Self-employed,1–2 years,"Rs.250,000–399,999",No,No existing loan,Agricultural,"Rs.1,000,000–4,999,999",Agriculture,Yes,No,"Yes, all",Rejected
45–54,Male,Married,2,Undergraduate degree,Self-employed,6–10 years,"Rs.250,000–399,999",No,No existing loan,Vehicle,"Rs.1,000,000–4,999,999",Vehicle purchase,Yes,No,"Yes, all",Approved
25–34,Female,Married,1,Postgraduate degree,Private-sector employee,3–5 years,"Rs.100,000–149,999",No,No existing loan,Other,"Rs.5,000,000–9,999,999",Business investment,No,No,"Yes, all",Rejected
25–34,Male,Married,0,Diploma,Self-employed,3–5 years,"Rs.250,000–399,999",Yes,"Below Rs.10,000",Personal,"Rs.5,000,000–9,999,999",Medical expenses,Yes,No,"Yes, all",Rejected
Below 25,Male,Single,0,Diploma,Self-employed,3–5 years,"Rs.100,000–149,999",No,No existing loan,Housing,"Rs.25,000,000–49,999,999",House purchase/construction,No,No,Not sure,Rejected
45–54,Female,Married,0,Undergraduate degree,Retired,Not employed/business,"Rs.50,000–99,999",No,No existing loan,Agricultural,"Below Rs.500,000",Agriculture,No,Yes,"Yes, all",Approved
