Feature,Importance,Normalized_Importance_%
Requested Loan Amount,10.23699377510799,10.236993775107992
Monthly Income,7.823554550158196,7.823554550158198
Employment Duration,6.556887617155302,6.556887617155302
Number of Dependents,5.74068039575574,5.740680395755741
Age Group,5.588262556261863,5.5882625562618635
Monthly Loan Repayment,5.5831922254468855,5.583192225446886
"Required Documents Submitted_Yes, all",4.2667032381056975,4.2667032381056975
Loan Type_Personal,2.7104002419701567,2.710400241970157
Collateral Availability_No,2.4430019805645413,2.4430019805645418
Existing Loan Status_Yes,2.0057987751286386,2.005798775128639
Gender_Male,1.9276411560386049,1.927641156038605
Employment Type_Private-sector employee,1.9054183832295482,1.9054183832295486
Loan Type_Housing,1.8735915205883287,1.873591520588329
Employment Type_Self-employed,1.85055489741237,1.8505548974123702
Loan Type_Education,1.8317003193536432,1.8317003193536436
Marital Status_Married,1.7871527050468228,1.7871527050468232
Education Level_Undergraduate degree,1.7785169051074414,1.7785169051074416
Existing Loan Status_No,1.6885742099124335,1.6885742099124337
"Required Documents Submitted_No, some missing",1.5125223254160953,1.5125223254160955
Loan Purpose_Business investment,1.4639446137712357,1.463944613771236
Loan Type_Vehicle,1.4525487975666664,1.4525487975666667
Guarantor Availability_Yes,1.3750717859824133,1.3750717859824135
Guarantor Availability_No,1.313753874110248,1.3137538741102481
Gender_Female,1.3124239315438342,1.3124239315438344
Loan Purpose_Vehicle purchase,1.2332549903813383,1.2332549903813386
Education Level_Secondary,1.21609030092768,1.2160903009276802
Education Level_Diploma,1.205362846037986,1.2053628460379862
Loan Purpose_House purchase/construction,1.192449335860018,1.1924493358600181
Employment Type_Contract employee,1.1723691422413438,1.1723691422413438
Marital Status_Single,1.1440143732093906,1.1440143732093908
Employment Type_Government employee,1.1207058548206654,1.1207058548206656
Loan Type_Agricultural,1.1035717599868322,1.1035717599868324
Loan Purpose_Other,0.9655025068787731,0.9655025068787734
Education Level_Postgraduate degree,0.9535589668256174,0.9535589668256175
Collateral Availability_Yes,0.9477828347987336,0.9477828347987337
Employment Type_Unemployed,0.8857868214249958,0.885786821424996
Collateral Availability_Not applicable / Not required,0.8625267040954617,0.8625267040954618
Loan Purpose_Medical expenses,0.8450204876846141,0.8450204876846142
Employment Type_Retired,0.8087540969327263,0.8087540969327264
Loan Type_Business,0.7823904525338872,0.7823904525338873
Loan Purpose_Debt consolidation,0.6956983737126834,0.6956983737126835
Loan Purpose_Agriculture,0.692869088896287,0.6928690888962871
Required Documents Submitted_Not sure,0.6762415252182492,0.6762415252182493
Education Level_Other,0.6719416236352589,0.671941623635259
Employment Type_Business owner,0.6326652176103769,0.632665217610377
Gender_Prefer not to say,0.6013631164327564,0.6013631164327565
Loan Purpose_Personal expenses,0.5275494664900443,0.5275494664900444
Marital Status_Divorced,0.5015113069762349,0.501511306976235
Loan Purpose_Education,0.4883995032263349,0.48839950322633496
Loan Type_Other,0.4680367451173633,0.4680367451173634
Marital Status_Widowed,0.4659416795254558,0.4659416795254559
Education Level_Primary,0.43887960822891586,0.4388796082289159
Marital Status_Prefer not to say,0.4036657985804987,0.4036657985804988
Employment Type_Other,0.24077643446582317,0.24077643446582322
Education Level_No formal education,0.026428256508947125,0.026428256508947128
