Feature,Gini_Importance,Normalized_Importance_%
Requested Loan Amount,0.07419654890196438,7.419654890196438
Monthly Income,0.06868703523541114,6.8687035235411145
Employment Duration,0.06234961492014805,6.234961492014805
Age Group,0.05847793523614119,5.847793523614119
Number of Dependents,0.058328930084735345,5.832893008473534
Monthly Loan Repayment,0.041174917118886815,4.117491711888682
"Required Documents Submitted_Yes, all",0.02289323798184746,2.2893237981847463
Education Level_Undergraduate degree,0.021299800461234565,2.1299800461234564
Marital Status_Married,0.019466931970923265,1.9466931970923265
Employment Type_Private-sector employee,0.019396744498631113,1.9396744498631113
Loan Type_Personal,0.019079297055703125,1.9079297055703124
Marital Status_Single,0.01890578653065161,1.890578653065161
Education Level_Diploma,0.018325248201692335,1.8325248201692335
Gender_Male,0.018002828902383427,1.8002828902383428
Gender_Female,0.017524299643865707,1.7524299643865708
Loan Purpose_House purchase/construction,0.016843205320382592,1.6843205320382593
Guarantor Availability_Yes,0.016826306186673558,1.6826306186673559
Collateral Availability_No,0.016255338304437848,1.6255338304437847
Guarantor Availability_No,0.016077743556789086,1.6077743556789086
Employment Type_Self-employed,0.0156959716335157,1.5695971633515702
Loan Type_Housing,0.01552628824930468,1.552628824930468
Collateral Availability_Yes,0.01527872052318341,1.5278720523183411
Loan Type_Vehicle,0.015271476263497627,1.5271476263497628
Loan Purpose_Vehicle purchase,0.014924863151030279,1.4924863151030279
Education Level_Secondary,0.014916874574637862,1.4916874574637862
Employment Type_Business owner,0.014836492721429412,1.4836492721429413
Loan Purpose_Business investment,0.01462871555342092,1.4628715553420921
Employment Type_Government employee,0.014320274352369166,1.4320274352369167
Loan Type_Business,0.013883503295601294,1.3883503295601294
Education Level_Postgraduate degree,0.013613898978796866,1.3613898978796866
Existing Loan Status_No,0.013605962106611668,1.3605962106611669
Employment Type_Contract employee,0.013490585569492213,1.3490585569492213
Loan Type_Education,0.013125124435938839,1.312512443593884
Existing Loan Status_Yes,0.012989546455116813,1.2989546455116814
Loan Purpose_Agriculture,0.012297229371715006,1.2297229371715006
Loan Purpose_Debt consolidation,0.012162440630872491,1.216244063087249
Loan Purpose_Other,0.011969241108521768,1.1969241108521769
Loan Type_Agricultural,0.01150225757624004,1.150225757624004
Loan Purpose_Education,0.011058274948295197,1.1058274948295197
Loan Purpose_Personal expenses,0.01098147717351741,1.098147717351741
"Required Documents Submitted_No, some missing",0.010844254731291265,1.0844254731291265
Loan Purpose_Medical expenses,0.010334706525939718,1.0334706525939719
Employment Type_Retired,0.010139302085595239,1.0139302085595239
Employment Type_Unemployed,0.009848156518644811,0.9848156518644812
Required Documents Submitted_Not sure,0.009777712366501295,0.9777712366501295
Loan Type_Other,0.00870288236748316,0.870288236748316
Collateral Availability_Not applicable / Not required,0.008180412934957155,0.8180412934957155
Marital Status_Divorced,0.007593964609455063,0.7593964609455063
Education Level_Primary,0.006993286513582574,0.6993286513582574
Education Level_Other,0.006150660476152012,0.6150660476152012
Marital Status_Widowed,0.0060942737271615375,0.6094273727161538
Employment Type_Other,0.0051933053749850435,0.5193305374985043
Gender_Prefer not to say,0.004255100315757704,0.42551003157577044
Marital Status_Prefer not to say,0.0036841679421975707,0.3684167942197571
Education Level_No formal education,0.0020168447246845934,0.20168447246845933
