Feature,Category,Seed_Count (500),Seed_Pct,CTGAN_Count (2500),CTGAN_Pct,CTGAN_Delta_pp,GaussianCopula_Count (2500),GaussianCopula_Pct,GaussianCopula_Delta_pp,TVAE_Count (2500),TVAE_Pct,TVAE_Delta_pp
Age Group,25–34,153,30.6,827,33.08,2.48,766,30.64,0.04,1489,59.56,28.96
Age Group,35–44,129,25.8,612,24.48,-1.32,643,25.72,-0.08,835,33.4,7.6
Age Group,45–54,108,21.6,532,21.28,-0.32,540,21.6,0.0,176,7.04,-14.56
Age Group,55–64,53,10.6,217,8.68,-1.92,259,10.36,-0.24,0,0.0,-10.6
Age Group,65 or above,20,4.0,119,4.76,0.76,99,3.96,-0.04,0,0.0,-4.0
Age Group,Below 25,37,7.4,193,7.72,0.32,193,7.72,0.32,0,0.0,-7.4
Gender,Female,212,42.4,980,39.2,-3.2,1154,46.16,3.76,596,23.84,-18.56
Gender,Male,278,55.6,1447,57.88,2.28,1307,52.28,-3.32,1904,76.16,20.56
Gender,Prefer not to say,10,2.0,73,2.92,0.92,39,1.56,-0.44,0,0.0,-2.0
Marital Status,Divorced,19,3.8,78,3.12,-0.68,93,3.72,-0.08,0,0.0,-3.8
Marital Status,Married,293,58.6,1675,67.0,8.4,1444,57.76,-0.84,2386,95.44,36.84
Marital Status,Prefer not to say,7,1.4,58,2.32,0.92,30,1.2,-0.2,0,0.0,-1.4
Marital Status,Single,164,32.8,615,24.6,-8.2,847,33.88,1.08,114,4.56,-28.24
Marital Status,Widowed,17,3.4,74,2.96,-0.44,86,3.44,0.04,0,0.0,-3.4
Number of Dependents,0,137,27.4,834,33.36,5.96,674,26.96,-0.44,1476,59.04,31.64
Number of Dependents,1,115,23.0,458,18.32,-4.68,574,22.96,-0.04,374,14.96,-8.04
Number of Dependents,2,108,21.6,509,20.36,-1.24,524,20.96,-0.64,601,24.04,2.44
Number of Dependents,3,87,17.4,429,17.16,-0.24,458,18.32,0.92,49,1.96,-15.44
Number of Dependents,4,26,5.2,137,5.48,0.28,116,4.64,-0.56,0,0.0,-5.2
Number of Dependents,5 or more,27,5.4,133,5.32,-0.08,154,6.16,0.76,0,0.0,-5.4
Education Level,Diploma,115,23.0,602,24.08,1.08,524,20.96,-2.04,81,3.24,-19.76
Education Level,No formal education,4,0.8,33,1.32,0.52,21,0.84,0.04,0,0.0,-0.8
Education Level,Other,10,2.0,75,3.0,1.0,62,2.48,0.48,0,0.0,-2.0
Education Level,Postgraduate degree,70,14.0,330,13.2,-0.8,326,13.04,-0.96,2,0.08,-13.92
Education Level,Primary,17,3.4,116,4.64,1.24,111,4.44,1.04,0,0.0,-3.4
Education Level,Secondary,81,16.2,432,17.28,1.08,415,16.6,0.4,3,0.12,-16.08
Education Level,Undergraduate degree,203,40.6,912,36.48,-4.12,1041,41.64,1.04,2414,96.56,55.96
Employment Type,Business owner,72,14.4,309,12.36,-2.04,385,15.4,1.0,170,6.8,-7.6
Employment Type,Contract employee,62,12.4,297,11.88,-0.52,290,11.6,-0.8,25,1.0,-11.4
Employment Type,Government employee,68,13.6,410,16.4,2.8,314,12.56,-1.04,203,8.12,-5.48
Employment Type,Other,12,2.4,74,2.96,0.56,72,2.88,0.48,0,0.0,-2.4
Employment Type,Private-sector employee,141,28.2,597,23.88,-4.32,718,28.72,0.52,1593,63.72,35.52
Employment Type,Retired,34,6.8,151,6.04,-0.76,159,6.36,-0.44,136,5.44,-1.36
Employment Type,Self-employed,78,15.6,461,18.44,2.84,427,17.08,1.48,269,10.76,-4.84
Employment Type,Unemployed,33,6.6,201,8.04,1.44,135,5.4,-1.2,104,4.16,-2.44
Employment Duration,1–2 years,82,16.4,525,21.0,4.6,384,15.36,-1.04,209,8.36,-8.04
Employment Duration,3–5 years,123,24.6,511,20.44,-4.16,571,22.84,-1.76,1380,55.2,30.6
Employment Duration,6–10 years,84,16.8,459,18.36,1.56,449,17.96,1.16,196,7.84,-8.96
Employment Duration,Less than 1 year,58,11.6,285,11.4,-0.2,269,10.76,-0.84,132,5.28,-6.32
Employment Duration,More than 10 years,86,17.2,347,13.88,-3.32,482,19.28,2.08,243,9.72,-7.48
Employment Duration,Not employed/business,67,13.4,373,14.92,1.52,345,13.8,0.4,340,13.6,0.2
Monthly Income,"Below Rs.50,000",17,3.4,111,4.44,1.04,81,3.24,-0.16,10,0.4,-3.0
Monthly Income,"Rs.1,000,000 or above",22,4.4,126,5.04,0.64,104,4.16,-0.24,0,0.0,-4.4
Monthly Income,"Rs.100,000–149,999",95,19.0,480,19.2,0.2,487,19.48,0.48,379,15.16,-3.84
Monthly Income,"Rs.150,000–249,999",127,25.4,585,23.4,-2.0,643,25.72,0.32,1406,56.24,30.84
